row,raw_intact,raw_moderate,raw_severe,va_intact,va_moderate,va_severe
268853,0.9295022807,0.0369311970,0.0335665223,0.9416444574,0.0401426662,0.0182128763
268895,0.0681266641,0.0947807513,0.8370925846,0.0138077407,0.1134119837,0.8727802756
269067,0.0704416782,0.0830480307,0.8465102911,0.0140269983,0.1034007178,0.8825722839
269144,0.0841023251,0.1170750931,0.7988225818,0.0149580912,0.1132796935,0.8717622153
269198,0.0766934758,0.1197279030,0.8035786212,0.0145308235,0.1133288292,0.8721403473
269393,0.0494559331,0.0375251880,0.9130188789,0.0128274490,0.0413619784,0.9458105726
269434,0.1464806370,0.1988891095,0.6546302535,0.0175267810,0.1671313286,0.8153418905
269452,0.7901061832,0.1350647817,0.0748290351,0.8691906939,0.1061059916,0.0247033145
269536,0.2300289124,0.1963213831,0.5736497045,0.1418731161,0.1459784179,0.7121484660
269652,0.7310971672,0.1591988665,0.1097039663,0.8357243395,0.1271180706,0.0371575899
269675,0.0453486370,0.0547947923,0.8998565707,0.0127828858,0.0419139522,0.9453031620
269941,0.6610254498,0.2259962508,0.1129782994,0.8070089066,0.1563979770,0.0365931164
270003,0.0542499531,0.0566841918,0.8890658551,0.0131602474,0.0418979306,0.9449418219
270021,0.7626492267,0.1329005639,0.1044502094,0.8577679464,0.1061218226,0.0361102310
270262,0.1536808610,0.2761847377,0.5701344013,0.0174434852,0.1710895259,0.8114669889
270366,0.1040812335,0.2015134647,0.6944053018,0.0165953094,0.1582490307,0.8251556600
270465,0.5717947994,0.2756641764,0.1525410242,0.7694549903,0.1531143312,0.0774306785
270492,0.2717879117,0.3249697387,0.4032423496,0.2117647059,0.2588235294,0.5294117647
270600,0.1683447709,0.2620456893,0.5696095398,0.0174434852,0.1710895259,0.8114669889
270720,0.3295867741,0.3316034377,0.3388097882,0.3489744725,0.2791795780,0.3718459495
270757,0.3020257950,0.4057687819,0.2922054231,0.2833138930,0.4148040730,0.3018820340
270783,0.5985723138,0.2381497771,0.1632779092,0.7671209480,0.1523095222,0.0805695298
270997,0.3935183883,0.4486833215,0.1577982903,0.3833294061,0.5238144024,0.0928561915
271043,0.2284793922,0.5056135209,0.2659070869,0.1480457411,0.5991407743,0.2528134846
271223,0.2188417017,0.3591095507,0.4220487475,0.0711484759,0.3656593749,0.5631921492
271346,0.2801021254,0.5944316806,0.1254661940,0.2177830210,0.7424296963,0.0397872827
271377,0.1141546567,0.2549226823,0.6309226610,0.0174434852,0.1710895259,0.8114669889
271459,0.2348065376,0.3980456889,0.3671477735,0.1821288798,0.4234325922,0.3944385280
271696,0.1920142890,0.4632615080,0.3447242030,0.0285520897,0.5819809034,0.3894670068
271860,0.2535045147,0.4401135445,0.3063819408,0.1968281230,0.4827540023,0.3204178747
271972,0.1646346325,0.2789697689,0.5563955986,0.0174434852,0.1710895259,0.8114669889
272447,0.1608200222,0.2263543457,0.6128256321,0.0174434852,0.1710895259,0.8114669889
272866,0.0914231064,0.1624853712,0.7460915224,0.0158506415,0.1293078649,0.8548414936
