id,y,fold,raw_intact,raw_moderate,raw_severe,va_intact,va_moderate,va_severe
414,0,4,0.2960430936,0.4592647484,0.2446921580,0.2791432942,0.4503824579,0.2704742478
419,1,0,0.1289579739,0.5587427699,0.3122992562,0.0141463415,0.6534146341,0.3324390244
423,0,1,0.3015723825,0.5080019236,0.1904256940,0.2309923713,0.6360824412,0.1329251875
424,0,3,0.2566384299,0.5477009252,0.1956606449,0.1692240714,0.5900692752,0.2407066533
437,0,0,0.3127978994,0.4691464831,0.2180556175,0.2832890925,0.4808184501,0.2358924575
438,2,0,0.1870032130,0.4339012866,0.3790955004,0.0297187489,0.5497344199,0.4205468312
445,2,1,0.1119174593,0.4800791478,0.4080033929,0.0194831999,0.5406587963,0.4398580038
446,1,4,0.1539876461,0.4951009452,0.3509114087,0.0220437187,0.5721885699,0.4057677114
449,1,2,0.1408388019,0.4672465324,0.3919146657,0.0197420027,0.4573142804,0.5229437169
450,2,2,0.1214914489,0.5715192642,0.3069892869,0.0191307806,0.6734638323,0.3074053870
453,2,1,0.3327685048,0.4526527591,0.2145787360,0.2639763592,0.5080041943,0.2280194465
458,2,1,0.3242195893,0.4790708196,0.1967095911,0.2659323995,0.5556087633,0.1784588371
463,2,4,0.2228934500,0.6226781103,0.1544284397,0.1001697599,0.8091919999,0.0906382402
467,2,3,0.2265927792,0.4452284276,0.3281787932,0.1403964580,0.5398771545,0.3197263875
473,0,1,0.3002566904,0.4986918122,0.2010514974,0.2216453496,0.6103435982,0.1680110522
474,1,2,0.2278242890,0.4475025303,0.3246731806,0.1246266352,0.5168488871,0.3585244777
486,0,2,0.4032643735,0.4460949302,0.1506406963,0.5341831931,0.3986288660,0.0671879409
487,2,4,0.1562288278,0.4223788444,0.4213923279,0.0221684692,0.4497032319,0.5281282989
492,2,3,0.1939611853,0.4177078840,0.3883309306,0.0340258784,0.4904176309,0.4755564906
494,1,0,0.2129640100,0.6501445673,0.1368914226,0.0624899947,0.8539580995,0.0835519058
500,1,4,0.1437619499,0.6197357270,0.2365023231,0.0201646764,0.7100962461,0.2697390775
515,2,1,0.1063063807,0.2598581295,0.6338354898,0.0213698874,0.1781827235,0.8004473891
527,2,0,0.0889114575,0.2066806226,0.7044079199,0.0133064688,0.1850649675,0.8016285637
535,2,3,0.0929326930,0.1754127281,0.7316545790,0.0139240408,0.1106619116,0.8754140476
543,2,3,0.1392351687,0.3229369819,0.5378278494,0.0160885135,0.2206424715,0.7632690149
549,2,4,0.0938359729,0.2155658917,0.6905981354,0.0209959793,0.1736754796,0.8053285410
550,2,2,0.0518361291,0.0739735437,0.8741903272,0.0158520737,0.0696997053,0.9144482210
552,2,1,0.0096048278,0.0096048278,0.9807903445,0.0136570561,0.0394537178,0.9468892261
554,2,4,0.1297201514,0.3502079248,0.5200719237,0.0193757334,0.2697406019,0.7108836647
557,2,1,0.0771942116,0.1632545840,0.7595512045,0.0176382281,0.1152023400,0.8671594319
559,2,3,0.0655639251,0.1276697973,0.8067662776,0.0112352721,0.1045681854,0.8841965425
566,2,1,0.0559035531,0.1024570599,0.8416393870,0.0157193845,0.1154273643,0.8688532512
567,2,1,0.0465980364,0.0687187620,0.8846832017,0.0157304449,0.0581111157,0.9261584394
574,2,3,0.1249006819,0.4095966755,0.4655026426,0.0144336634,0.4059467830,0.5796195536
580,2,2,0.0916315751,0.1409812847,0.7673871403,0.0198849261,0.1119607797,0.8681542942
582,2,4,0.0858397646,0.1613659585,0.7527942770,0.0184949768,0.1588088231,0.8226962001
583,2,4,0.0680037976,0.1253248034,0.8066713990,0.0171708913,0.1373671300,0.8454619787
584,2,0,0.0256559000,0.0321481200,0.9421959800,0.0098321511,0.0452278952,0.9449399536
585,2,4,0.1048735051,0.1612095785,0.7339169164,0.0206634115,0.1584579675,0.8208786210
586,2,0,0.1962222217,0.2688278636,0.5349499147,0.0347711186,0.1844699343,0.7807589471
588,2,2,0.0889176198,0.1517565835,0.7593257967,0.0190331804,0.1230193370,0.8579474825
597,2,3,0.1052765913,0.2828835824,0.6118398263,0.0155262683,0.1680808810,0.8163928507
598,2,0,0.1037034855,0.3979898154,0.4983066991,0.0125185751,0.2993841554,0.6880972696
600,2,0,0.1464970112,0.3251340389,0.5283689499,0.0136879403,0.2339393428,0.7523727169
604,2,0,0.1362885982,0.2408643812,0.6228470206,0.0145026440,0.1883435484,0.7971538076
605,2,4,0.1011849709,0.1724215137,0.7263935154,0.0207138672,0.1588448885,0.8204412443
606,2,3,0.1665590679,0.2108457504,0.6225951817,0.0202846549,0.1207511898,0.8589641553
609,2,1,0.0709569763,0.2002363980,0.7288066257,0.0159210349,0.1596588291,0.8244201359
614,2,0,0.0922336131,0.1215994209,0.7861669660,0.0139952211,0.0983078949,0.8876968840
619,2,1,0.1007866807,0.1593358999,0.7398774193,0.0200906683,0.1149147404,0.8649945913
624,2,0,0.1191105050,0.1731826702,0.7077068249,0.0148047571,0.1523701273,0.8328251156
626,2,1,0.3099955916,0.3010765314,0.3889278769,0.2923957745,0.2421578905,0.4654463350
628,2,4,0.0426271888,0.0744064218,0.8829663893,0.0159151194,0.0742705570,0.9098143236
629,2,2,0.0270675493,0.0360274908,0.9369049599,0.0140378662,0.0513521945,0.9346099393
631,2,0,0.0463814703,0.0829446251,0.8706739046,0.0106723901,0.0876992055,0.9016284044
639,2,2,0.1176035834,0.3373450289,0.5450513878,0.0188967380,0.2222853132,0.7588179487
642,1,2,0.0583158977,0.0895140744,0.8521700279,0.0157607931,0.0934573825,0.8907818245
645,2,2,0.0269510050,0.0451386895,0.9279103054,0.0140702559,0.0514706797,0.9344590644
647,2,1,0.0453159369,0.0693438958,0.8853401674,0.0155732320,0.0581203975,0.9263063705
649,2,0,0.0669365808,0.1212544340,0.8118089852,0.0116765949,0.0985390695,0.8897843356
650,2,4,0.1412800124,0.2807287914,0.5779911962,0.0216406275,0.1843781459,0.7939812266
651,2,0,0.1125772960,0.1568694997,0.7305532043,0.0140920941,0.1281925980,0.8577153079
652,2,4,0.1413304168,0.2992538423,0.5594157410,0.0200430902,0.2445883354,0.7353685744
653,2,1,0.1168865627,0.4167546003,0.4663588370,0.0185148487,0.4106106503,0.5708745010
655,2,4,0.1189280385,0.3837349145,0.4973370470,0.0194234525,0.3129793202,0.6675972273
661,2,2,0.0916101011,0.2580846471,0.6503052518,0.0195851468,0.1675618113,0.8128530419
664,2,3,0.0725130157,0.1242148382,0.8032721461,0.0118230482,0.1045060243,0.8836709275
667,2,4,0.1652615368,0.2797105014,0.5550279617,0.0216406275,0.1843781459,0.7939812266
669,2,4,0.0776558197,0.2512250468,0.6711191335,0.0184008288,0.1821682052,0.7994309660
671,2,1,0.0940626427,0.1289380510,0.7769993063,0.0200906683,0.1149147404,0.8649945913
672,2,0,0.1865087748,0.2532246709,0.5602665544,0.0267577277,0.1860014153,0.7872408570
673,1,4,0.1264492143,0.3048798487,0.5686709370,0.0194891944,0.2654643265,0.7150464791
675,2,2,0.3171594535,0.2679261645,0.4149143819,0.3137254902,0.1633986928,0.5228758170
682,2,1,0.0908151350,0.2143165932,0.6948682718,0.0185956179,0.1623842694,0.8190201127
691,2,2,0.0875413295,0.1792132759,0.7332453946,0.0185395329,0.1330411661,0.8484193010
694,2,4,0.1887273015,0.3065699591,0.5047027393,0.0237393005,0.2685403142,0.7077203852
695,2,4,0.3112071157,0.3072424531,0.3815504313,0.2765833818,0.2789076119,0.4445090064
702,2,2,0.0277358324,0.0491935225,0.9230706451,0.0140702559,0.0514706797,0.9344590644
703,2,1,0.1452360749,0.3953399956,0.4594239295,0.0219644385,0.3869924884,0.5910430731
705,2,3,0.1030132077,0.2565512898,0.6404355025,0.0151889792,0.1681384670,0.8166725539
708,2,2,0.0256240498,0.0265025962,0.9478733540,0.0139502244,0.0487690770,0.9372806986
713,2,0,0.1367358437,0.3531117492,0.5101524071,0.0131775516,0.2625038088,0.7243186397
715,1,3,0.1056656739,0.2592101337,0.6351241923,0.0155262683,0.1680808810,0.8163928507
722,2,0,0.0368333115,0.0569378684,0.9062288201,0.0105303538,0.0469079398,0.9425617064
723,2,1,0.1288890502,0.4139513250,0.4571596248,0.0199903912,0.4420863535,0.5379232553
725,2,4,0.1971524536,0.3140991973,0.4887483491,0.0304728295,0.2916975686,0.6778296019
727,2,2,0.1191147566,0.1860823631,0.6948028803,0.0205773357,0.1400010508,0.8394216136
729,1,0,0.0643739085,0.1152324344,0.8203936571,0.0114157294,0.0985650786,0.8900191919
733,2,0,0.0675680468,0.1279331259,0.8044988273,0.0116765949,0.0985390695,0.8897843356
738,2,2,0.1119322711,0.1670306933,0.7210370356,0.0206602035,0.1286675158,0.8506722807
745,2,1,0.0299024074,0.0390378305,0.9310597621,0.0144103069,0.0471406939,0.9384489992
747,2,3,0.0144053427,0.0183027702,0.9672918871,0.0094812407,0.0480834349,0.9424353244
754,2,4,0.0814606044,0.1207351414,0.7978042542,0.0186271545,0.1371635924,0.8442092531
757,2,3,0.0383681838,0.0516900305,0.9099417857,0.0102985178,0.0551109874,0.9345904947
760,2,2,0.1498504624,0.3393068415,0.5108426962,0.0188967380,0.2222853132,0.7588179487
767,2,1,0.1033306055,0.3992598385,0.4974095560,0.0171550593,0.3402714853,0.6425734554
771,2,2,0.1977481722,0.3668240661,0.4354277616,0.0322875228,0.4142547346,0.5534577426
773,2,2,0.0871186081,0.2242173337,0.6886640582,0.0183983608,0.1655852472,0.8160163920
775,2,0,0.0731253326,0.1708149612,0.7560597062,0.0114885496,0.1408814847,0.8476299656
781,1,2,0.1467225552,0.2968518734,0.5564255714,0.0202290715,0.1674517587,0.8123191698
788,1,0,0.1427438685,0.3803666475,0.4768894840,0.0127554405,0.2861277215,0.7011168381
789,2,4,0.0362586046,0.0469450619,0.9167963335,0.0153723109,0.0377665415,0.9468611476
791,2,2,0.0762606200,0.1177452150,0.8059941650,0.0177950446,0.1049573488,0.8772476065
793,2,4,0.0401384504,0.0539685016,0.9058930480,0.0158141473,0.0449213460,0.9392645067
794,2,0,0.0327501374,0.0463554118,0.9208944508,0.0102516309,0.0465983225,0.9431500466
810,2,1,0.1094699965,0.2004804641,0.6900495394,0.0194580266,0.1622415743,0.8183003991
817,2,4,0.0484701590,0.0701290606,0.8814007804,0.0164778579,0.0655681428,0.9179539993
819,2,3,0.0284491542,0.0416714559,0.9298793899,0.0099025359,0.0551330374,0.9349644267
821,2,2,0.0463485051,0.0793311006,0.8743203944,0.0152696445,0.0856243885,0.8991059670
822,2,1,0.0661107451,0.1325555295,0.8013337255,0.0163990153,0.1153476634,0.8682533212
827,2,0,0.1563864350,0.3685443997,0.4750691652,0.0145798290,0.2855989689,0.6998212021
828,2,1,0.0685685670,0.1017409519,0.8296904811,0.0167613557,0.1153051715,0.8679334728
830,2,1,0.0666772634,0.1333709031,0.7999518335,0.0163990153,0.1153476634,0.8682533212
831,2,0,0.1170358193,0.2584379277,0.6245262530,0.0145026440,0.1883435484,0.7971538076
832,1,2,0.1746871892,0.3132446660,0.5120681448,0.0194008182,0.2221711055,0.7584280763
838,2,0,0.1336335967,0.2741917629,0.5921746404,0.0145026440,0.1883435484,0.7971538076
7,0,4,0.7447731121,0.1623794783,0.0928474096,0.8278267518,0.1563524005,0.0158208478
9,0,4,0.8221729643,0.1102836090,0.0675434267,0.8588957055,0.1288343558,0.0122699387
11,0,0,0.4028545678,0.3967308461,0.2004145861,0.4565140506,0.3175372263,0.2259487231
12,0,0,0.5091350523,0.3478604451,0.1430045026,0.6946977068,0.2367627027,0.0685395905
13,0,3,0.7338655536,0.1969324038,0.0692020426,0.8613659930,0.1082114125,0.0304225945
16,0,0,0.7506092079,0.1639130091,0.0854777830,0.8367609254,0.1233933162,0.0398457584
24,0,0,0.7674079423,0.1462117263,0.0863803314,0.8464046164,0.1139764441,0.0396189395
25,0,1,0.7905688646,0.1444707470,0.0649603884,0.8598130841,0.1121495327,0.0280373832
27,0,2,0.4199469623,0.4126253067,0.1674277310,0.5388240831,0.3922826090,0.0688933079
30,0,3,0.9185476269,0.0454025490,0.0360498241,0.9236300806,0.0526246503,0.0237452690
36,1,1,0.4694635570,0.3599553406,0.1705811024,0.6353006292,0.2659247146,0.0987746561
37,0,0,0.5236352242,0.3306200901,0.1457446857,0.7106305486,0.2192579103,0.0701115411
42,1,3,0.5343346596,0.3179718852,0.1476934552,0.7417900414,0.1998291540,0.0583808046
44,0,3,0.8720264565,0.0778449860,0.0501285575,0.8864563473,0.0875822481,0.0259614046
52,0,4,0.5203109306,0.3250223052,0.1546667642,0.6638155448,0.2603198215,0.0758646337
57,1,1,0.4755448103,0.2658725977,0.2585825920,0.6463325311,0.1456524014,0.2080150675
59,0,4,0.5424152370,0.2807096415,0.1768751214,0.7048735588,0.1691696541,0.1259567871
70,0,2,0.6746597190,0.1385300586,0.1868102225,0.7707390565,0.0968339602,0.1324269833
72,0,1,0.6528329350,0.2060147704,0.1411522946,0.7863935935,0.1575248513,0.0560815552
90,0,4,0.4884730948,0.3560617321,0.1554651731,0.6496010042,0.2761588810,0.0742401148
91,2,0,0.4444230629,0.3039496334,0.2516273037,0.5786759156,0.2002816750,0.2210424094
98,0,1,0.4392922223,0.3379216492,0.2227861285,0.5929985856,0.2078029231,0.1991984913
101,0,4,0.4491770036,0.3018298790,0.2489931173,0.5468527485,0.2161777271,0.2369695244
108,0,2,0.4684581896,0.2813075567,0.2502342537,0.5898305085,0.1544794189,0.2556900726
111,0,4,0.6204951267,0.2571512999,0.1223535734,0.7938890896,0.1804112956,0.0256996148
118,0,3,0.8646723725,0.0757213988,0.0596062287,0.8862610893,0.0862152744,0.0275236363
122,0,4,0.8796451458,0.0684969035,0.0518579507,0.9359605911,0.0523399015,0.0116995074
123,1,3,0.7051811762,0.1917221085,0.1030967153,0.8491937328,0.1075016117,0.0433046555
124,0,3,0.5817608237,0.2894694507,0.1287697256,0.7825619750,0.1744901701,0.0429478549
126,0,1,0.5703184605,0.2804140747,0.1492674649,0.7513021844,0.1561391707,0.0925586449
127,0,2,0.6709170541,0.1874915119,0.1415914339,0.8166757906,0.1281458899,0.0551783194
129,0,3,0.5934505882,0.2815592801,0.1249901317,0.8020908545,0.1538895244,0.0440196211
136,0,1,0.5964394123,0.2490655445,0.1544950432,0.7444829717,0.1529161033,0.1026009250
137,0,3,0.6196228816,0.2727225105,0.1076546080,0.8020908545,0.1538895244,0.0440196211
138,0,4,0.6665924589,0.2222791397,0.1111284014,0.8021905974,0.1756334606,0.0221759420
139,0,2,0.8762511015,0.0694302544,0.0543186441,0.9166020162,0.0587425498,0.0246554340
140,0,2,0.4838794172,0.2961320579,0.2199885249,0.6087844740,0.1521961185,0.2390194076
143,0,1,0.7812951265,0.1380133341,0.0806915394,0.8566631049,0.1117386659,0.0315982293
144,0,4,0.8982444868,0.0655615543,0.0361939589,0.9371154183,0.0523110680,0.0105735137
155,1,3,0.5479409776,0.3098532604,0.1422057620,0.7492671880,0.2018434058,0.0488894062
162,0,2,0.7762887900,0.1356009215,0.0881102885,0.8644704335,0.1013607746,0.0341687918
165,0,2,0.8032323479,0.1276387683,0.0691288838,0.8741413754,0.0983179386,0.0275406861
170,0,4,0.7586274034,0.1551100887,0.0862625079,0.8303705717,0.1547087071,0.0149207212
174,0,1,0.5053998383,0.2866984691,0.2079016926,0.6657943518,0.1406607785,0.1935448697
176,0,1,0.8056235313,0.1263495237,0.0680269450,0.8594587169,0.1121033109,0.0284379722
177,0,4,0.6122177885,0.2940004788,0.0937817327,0.7624996924,0.2214560433,0.0160442644
181,0,4,0.4968514516,0.3184125173,0.1847360311,0.6365976065,0.2496461202,0.1137562733
184,0,0,0.8587679235,0.0936032307,0.0476288458,0.8855335343,0.0901497554,0.0243167103
187,0,2,0.9119192890,0.0488870587,0.0391936523,0.9268118418,0.0501693020,0.0230188562
192,0,0,0.9644908636,0.0184062342,0.0171029023,0.9373408049,0.0417727967,0.0208863984
199,0,0,0.8074092449,0.1218835813,0.0707071737,0.8758081835,0.0904708597,0.0337209568
200,0,0,0.6222820143,0.2686735630,0.1090444228,0.7755353267,0.1724545661,0.0520101072
