"id","y","fold","va_intact","va_moderate","va_severe"
6,0,2,0.898453555699032,0.0782633491075478,0.02328309519342
14,0,1,0.796534830461797,0.15955627276856,0.0439088967696426
17,0,0,0.776848991459204,0.171445287049636,0.05170572149116
18,0,1,0.84457352790738,0.110926776763198,0.0444996953294223
20,0,4,0.791524780698973,0.178435562341225,0.0300396569598022
21,0,2,0.803097345132743,0.154709228824273,0.0421934260429836
22,0,2,0.803149606299213,0.15748031496063,0.0393700787401575
29,0,4,0.789450961526601,0.17940273100692,0.0311463074664792
31,0,3,0.596486628211851,0.188778185631883,0.214735186156266
32,0,1,0.840743434182432,0.113660287637435,0.0455962781801337
35,0,3,0.870947135803322,0.0981175834167789,0.0309352807798994
39,0,1,0.796534830461797,0.15955627276856,0.0439088967696426
40,0,2,0.706341538818255,0.218765699269622,0.0748927619121227
43,0,0,0.776848991459204,0.171445287049636,0.05170572149116
53,0,3,0.817284910548605,0.138677119882503,0.0440379695688921
55,0,3,0.755133674681287,0.203423765424347,0.0414425598943663
56,0,1,0.861136043082447,0.112322092575971,0.0265418643415823
60,1,2,0.800285306704708,0.156918687589158,0.0427960057061341
61,1,1,0.795691624569645,0.160217510215901,0.0440908652144535
63,0,3,0.869555758998577,0.0979608362112464,0.0324834047901767
66,0,3,0.549490420836126,0.26997296110559,0.180536618058284
68,0,3,0.742002353073001,0.14236091657796,0.115636730349039
69,0,0,0.764587525150905,0.170020120724346,0.0653923541247485
78,0,0,0.761875824468569,0.169417124125248,0.0687070514061836
79,1,0,0.710630548600045,0.21925791031186,0.0701115410880947
80,0,4,0.828242735969144,0.156430967788821,0.0153262962420355
83,0,0,0.776627014657434,0.172697322996193,0.0506756623463731
85,1,2,0.818341386485753,0.139050756201353,0.0426078573128945
88,0,4,0.644671228110866,0.252812246317987,0.102516525571147
89,0,1,0.540017940795375,0.278580683743646,0.181401375460979
92,0,2,0.889290664738143,0.0881697101187248,0.0225396251431326
94,0,3,0.886261089283483,0.0862152744033653,0.0275236363131516
97,0,1,0.821866932792419,0.146713077525392,0.0314199896821897
100,0,0,0.678129068140008,0.248225450589479,0.0736454812705126
103,0,0,0.668153889243858,0.156648519487794,0.175197591268348
104,0,1,0.88339345873105,0.093464345873105,0.023142195395845
119,0,1,0.742243227168763,0.154256495411599,0.103500277419638
120,0,0,0.645832552366434,0.269768875449316,0.0843985721842499
128,0,2,0.805589307411908,0.157958687727825,0.0364520048602673
135,0,4,0.880593708462561,0.107665042091272,0.0117412494461675
149,0,3,0.640819156152759,0.314844151161901,0.0443366926853396
150,1,1,0.534388787957436,0.346021858868991,0.119589353173573
152,0,0,0.834544056063584,0.123066404580805,0.0423895393556106
154,0,2,0.575526526259664,0.376071566100892,0.0484019076394443
156,0,0,0.780886622078943,0.172336364657011,0.0467770132640459
160,0,1,0.880707347071965,0.0909284871608223,0.028364165767213
169,1,3,0.627275136737103,0.308189769414259,0.0645350938486375
171,0,2,0.93402120408936,0.044632714880727,0.0213460810299129
172,1,0,0.87696068445712,0.0896312894683235,0.0334080260745569
175,0,3,0.923630080631891,0.052624650320882,0.0237452690472273
183,0,1,0.856663104869485,0.111738665852542,0.0315982292779728
185,0,2,0.926557933440181,0.0501555576506081,0.0232865089092109
186,0,4,0.84450871096392,0.142407351260583,0.0130839377754974
190,1,0,0.750689500352768,0.166929638894234,0.0823808607529985
191,0,0,0.611217097755717,0.316464273786854,0.0723186284574288
196,0,1,0.658433425617625,0.222136054925917,0.119430519456458
201,0,2,0.801720398341118,0.123144695952642,0.0751349057062403
202,0,0,0.760909783436718,0.169202307106323,0.0698879094569594
208,1,4,0.673661411925977,0.308726525017135,0.0176120630568883
210,0,4,0.656102108131364,0.157464505951527,0.186433385917109
211,1,3,0.604517779934704,0.297008735551046,0.0984734845142504
213,0,1,0.85535809403903,0.112343227930851,0.0322986780301196
214,0,3,0.920814479638009,0.052790346907994,0.026395173453997
230,0,4,0.618501254930082,0.14844030118322,0.233058443886698
231,0,2,0.926811841819142,0.0501693019788139,0.023018856202044
237,2,3,0.168408210894818,0.568874980109266,0.262716808995916
241,1,3,0.346087626026985,0.579020186152773,0.0748921878202417
246,2,0,0.0220827850288883,0.492912450672771,0.485004764298341
250,1,1,0.0987957859500388,0.795731341423307,0.105472872626654
259,2,4,0.05263530517278,0.639205514542611,0.308159180284609
260,2,0,0.0150203454796449,0.766814533883253,0.218165120637102
262,2,3,0.184872846423264,0.732707061053671,0.0824200925230651
265,2,0,0.193853925489371,0.483056198695012,0.323089875815618
271,2,2,0.306682178126324,0.442466208053907,0.25085161381977
273,2,4,0.029986963655856,0.946021057794918,0.0239919785492256
278,2,1,0.0188881203265661,0.746840619809049,0.234271259864385
280,2,1,0.15880509580792,0.640333214430282,0.200861689761798
281,2,2,0.0656421721740238,0.556967517612441,0.377390310213535
282,1,0,0.0141809420424157,0.652566919960814,0.33325213799677
284,1,2,0.164586561174967,0.493255247956327,0.342158190868706
286,0,0,0.0173862123292923,0.887596115638528,0.0950176720321791
287,2,1,0.257085177420607,0.520847891917074,0.222066930662318
289,0,2,0.310922492740675,0.42104087558633,0.268036631672995
291,1,1,0.24733268671193,0.46168768186227,0.2909796314258
292,1,3,0.0186859415193909,0.651562149314887,0.329751909165722
293,2,1,0.0191995638232965,0.702218529721029,0.278581906455675
299,1,0,0.0429013510453619,0.740492112612273,0.216606536342365
302,0,2,0.159228908090579,0.572965860085937,0.267805231823484
308,2,3,0.374294605822329,0.413157856225253,0.212547537952418
310,2,4,0.0201646764303558,0.710096246102711,0.269739077466934
311,1,1,0.123684180416028,0.724842101649923,0.151473717934049
314,1,3,0.176824817518248,0.753832116788321,0.0693430656934306
315,2,1,0.0303001226078149,0.731527977681824,0.238171899710361
317,2,2,0.368884125520301,0.537648612945839,0.0934672615338601
325,2,3,0.0155383271268484,0.524877349402988,0.459584323470163
326,1,2,0.124626635244111,0.516848887054427,0.358524477701462
331,2,2,0.410914042435838,0.36725442542703,0.221831532137132
332,2,0,0.208446866485014,0.471162579473206,0.32039055404178
337,2,1,0.0202090592334495,0.739140534262485,0.240650406504065
339,1,0,0.0788194527043636,0.555796084401836,0.3653844628938
343,2,2,0.0530702177431258,0.557129454795441,0.389800327461433
348,2,3,0.310392418030889,0.423734779282225,0.265872802686886
